model,split_type,heldout_station_id,intercept,slope,n_train,n_test,slope_warning
M2_linear_proxy,apparent,ALL,-23.69135934763482,1.9463313369913053,2564,2564,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S124,-23.837587198752544,1.953145234596307,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S125,-25.091684384911776,1.9989749503055394,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S126,-23.387724400898456,1.9343508146093438,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S127,-23.22771000045792,1.9280871154203127,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S128,-23.22329052965807,1.927964378955157,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S129,-23.53862369538766,1.9405424311033594,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S130,-23.57728076572787,1.941545323759406,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S132,-24.175856443242953,1.9642832429492838,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S135,-23.434491269785383,1.9364276643610023,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S137,-23.517281637843976,1.9390586741426934,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S139,-23.93449372065704,1.9568964818845451,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S140,-23.951912622555945,1.9566738326934432,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S141,-23.56328246726022,1.941241249920602,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S142,-23.18598742813739,1.926010532878381,2470,94,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S143,-24.298258349025165,1.9689751108873919,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S144,-23.382798317859475,1.9343662064872125,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S145,-24.23518051979379,1.9668070607277712,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S146,-23.536605339682538,1.9410469817588216,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S147,-23.180601330739268,1.926828692797016,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S148,-23.89741704892721,1.9554531364629557,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S149,-23.745476080994827,1.9494653277865834,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S150,-23.52723256234736,1.9407029922145949,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S151,-23.32522583626531,1.932411744523806,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S153,-24.116495874207523,1.9621976581071765,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S180,-23.79286897725835,1.9501296297272401,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S184,-23.91259284784472,1.9544950816917324,2469,95,slope_gt_1_5_range_expansion
M2_linear_proxy,LOSO,S187,-23.256183946729205,1.929954557502197,2469,95,slope_gt_1_5_range_expansion
