tile_type,tmrt_hour_sgt,n_cells,mean_solweig_tmrt,mean_empirical,mean_delta,std_delta
clean_hazard_top,10,28,42.28,29.6,12.67,3.01
clean_hazard_top,12,28,55.73,32.4,23.33,5.29
clean_hazard_top,13,28,55.78,31.64,24.14,5.34
clean_hazard_top,15,28,53.97,30.74,23.23,5.14
clean_hazard_top,16,28,46.44,30.14,16.3,3.78
clean_shaded_reference,10,42,37.25,29.6,7.64,3.61
clean_shaded_reference,12,42,46.87,32.4,14.48,7.71
clean_shaded_reference,13,42,46.94,31.64,15.3,7.69
clean_shaded_reference,15,42,45.45,30.74,14.71,7.04
clean_shaded_reference,16,42,40.45,30.14,10.32,4.67
conservative_risk_top,10,28,36.71,29.6,7.1,3.78
conservative_risk_top,12,28,44.58,32.4,12.18,7.88
conservative_risk_top,13,28,44.58,31.64,12.94,7.89
conservative_risk_top,15,28,43.44,30.74,12.7,7.28
conservative_risk_top,16,28,39.23,30.14,9.1,4.87
open_paved_hotspot,10,49,38.54,29.6,8.93,4.14
open_paved_hotspot,12,49,49.52,32.4,17.13,7.65
open_paved_hotspot,13,49,49.58,31.64,17.94,7.62
open_paved_hotspot,15,49,47.72,30.74,16.99,7.45
open_paved_hotspot,16,49,41.83,30.14,11.69,5.3
overhead_confounded_hazard_case,10,49,41.01,29.6,11.4,3.57
overhead_confounded_hazard_case,12,49,53.25,32.4,20.86,6.93
overhead_confounded_hazard_case,13,49,53.28,31.64,21.63,7.01
overhead_confounded_hazard_case,15,49,51.65,30.74,20.91,6.62
overhead_confounded_hazard_case,16,49,44.89,30.14,14.75,4.61
social_risk_top,10,49,37.44,29.6,7.83,3.11
social_risk_top,12,49,48.55,32.4,16.15,5.93
social_risk_top,13,49,48.62,31.64,16.98,5.88
social_risk_top,15,49,46.38,30.74,15.64,5.75
social_risk_top,16,49,40.62,30.14,10.49,4.0
