tile_id,cell_id,role,tmrt_time_label,tmrt_hour_sgt,base,overhead,delta_overhead_minus_base_c,delta_class
E01_confident_hot_anchor_1_TP_0565,TP_0565,confident_hot_anchor_1,1000,10,43.72013854980469,43.71132278442383,-0.008815765380859375,little_change
E01_confident_hot_anchor_1_TP_0565,TP_0565,confident_hot_anchor_1,1200,12,60.030982971191406,60.0234489440918,-0.007534027099609375,little_change
E01_confident_hot_anchor_1_TP_0565,TP_0565,confident_hot_anchor_1,1300,13,60.05531692504883,60.045806884765625,-0.009510040283203125,little_change
E01_confident_hot_anchor_1_TP_0565,TP_0565,confident_hot_anchor_1,1500,15,57.52208709716797,57.510501861572266,-0.011585235595703125,little_change
E01_confident_hot_anchor_1_TP_0565,TP_0565,confident_hot_anchor_1,1600,16,48.52577972412109,48.51470565795898,-0.011074066162109375,little_change
E02_confident_hot_anchor_2_TP_0986,TP_0986,confident_hot_anchor_2,1000,10,43.92170333862305,43.92170333862305,0.0,little_change
E02_confident_hot_anchor_2_TP_0986,TP_0986,confident_hot_anchor_2,1200,12,60.95865631103516,60.95865631103516,0.0,little_change
E02_confident_hot_anchor_2_TP_0986,TP_0986,confident_hot_anchor_2,1300,13,60.67300033569336,60.67300033569336,0.0,little_change
E02_confident_hot_anchor_2_TP_0986,TP_0986,confident_hot_anchor_2,1500,15,57.42228698730469,57.42228698730469,0.0,little_change
E02_confident_hot_anchor_2_TP_0986,TP_0986,confident_hot_anchor_2,1600,16,48.35227584838867,48.35227584838867,0.0,little_change
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,1000,10,45.49314880371094,36.659515380859375,-8.833633422851562,moderate_reduction
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,1200,12,61.6948356628418,45.46274566650391,-16.232089996337884,large_reduction
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,1300,13,61.73907470703125,44.980918884277344,-16.758155822753906,large_reduction
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,1500,15,59.77748107910156,42.77633666992188,-17.00114440917968,large_reduction
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,1600,16,50.706321716308594,38.74202346801758,-11.964298248291016,moderate_reduction
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,1000,10,44.70852279663086,33.649845123291016,-11.058677673339844,moderate_reduction
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,1200,12,60.94941329956055,38.48615646362305,-22.4632568359375,large_reduction
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,1300,13,61.149024963378906,38.999507904052734,-22.149517059326172,large_reduction
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,1500,15,59.428688049316406,37.91165542602539,-21.517032623291016,large_reduction
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,1600,16,50.32748794555664,35.562042236328125,-14.765445709228516,moderate_reduction
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,1000,10,32.89109420776367,32.8910026550293,-9.1552734375e-05,little_change
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,1200,12,36.00113296508789,36.00068283081055,-0.00045013427734375,little_change
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,1300,13,36.09162521362305,36.09106063842773,-0.0005645751953196054,little_change
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,1500,15,35.88783645629883,35.88766098022461,-0.00017547607421875,little_change
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,1600,16,34.47616195678711,34.4760856628418,-7.62939453125e-05,little_change
