n,mae,rmse,bias,r2,model,cv_scheme,n_folds,n_features,wbgt_ge_31_precision,wbgt_ge_31_recall,wbgt_ge_31_f1,wbgt_ge_31_tp,wbgt_ge_31_fp,wbgt_ge_31_fn,wbgt_ge_33_precision,wbgt_ge_33_recall,wbgt_ge_33_f1,wbgt_ge_33_tp,wbgt_ge_33_fp,wbgt_ge_33_fn
5372,1.3486494541162377,1.9154029752810247,-1.1637793560565217,0.2149981547959232,M0_raw_proxy,loso,26,0,,0.0,,0,0,472,,0.0,,0,0,29
5372,1.2379502021662028,1.5233642814353043,7.294979684997534e-05,0.503455816428092,M1_global_bias,loso,26,0,,0.0,,0,0,472,,0.0,,0,0,29
5372,0.8616696652711013,1.1618903305254615,-0.00032187760032445636,0.71114450274898,M1b_period_bias,loso,26,0,0.3275862068965517,0.08050847457627118,0.12925170068027209,38,78,434,,0.0,,0,0,29
5372,1.1117497831048564,1.4145260139297622,-0.0006734722408058547,0.5718733725130154,M2_linear_proxy,loso,26,1,0.125,0.006355932203389831,0.012096774193548387,3,21,469,,0.0,,0,0,29
5372,0.6954076893153132,0.9482216562610667,-0.0003418317989319573,0.807615489817567,M3_weather_ridge,loso,26,14,0.5,0.06991525423728813,0.12267657992565054,33,33,439,,0.0,,0,0,29
5372,0.6773530180557142,0.9221317722656621,0.00025269292284038874,0.8180565882578741,M4_inertia_ridge,loso,26,18,0.43575418994413406,0.1652542372881356,0.23963133640552994,78,101,394,,0.0,,0,0,29
5372,0.7255946297499639,0.9795362918165101,8.04796805651972e-05,0.7946988298683788,M5_v10_morphology_ridge,loso,26,15,0.3333333333333333,0.13347457627118645,0.19062027231467474,63,126,409,,0.0,,0,0,29
5372,0.7255946297499005,0.9795362918164274,8.047968044881211e-05,0.7946988298684136,M6_v10_overhead_ridge,loso,26,17,0.3333333333333333,0.13347457627118645,0.19062027231467474,63,126,409,,0.0,,0,0,29
5372,0.7255946297499247,0.9795362918164606,8.047968057735527e-05,0.7946988298683997,M7_compact_weather_ridge,loso,26,8,0.3333333333333333,0.13347457627118645,0.19062027231467474,63,126,409,,0.0,,0,0,29
5372,1.3486494541162377,1.9154029752810247,-1.1637793560565217,0.2149981547959232,M0_raw_proxy,time_block,4,0,,0.0,,0,0,472,,0.0,,0,0,29
5372,1.235230467686835,1.5230339748366,-0.012899762708995986,0.5036711215147088,M1_global_bias,time_block,4,0,,0.0,,0,0,472,,0.0,,0,0,29
5372,0.8577943249670018,1.158873515609905,-0.0069409311361316285,0.7126425654086438,M1b_period_bias,time_block,4,0,0.3564356435643564,0.07627118644067797,0.12565445026178013,36,65,436,,0.0,,0,0,29
5372,1.1083726910839993,1.411505375291011,-0.011153524204912968,0.5736998995993585,M2_linear_proxy,time_block,4,1,0.125,0.006355932203389831,0.012096774193548387,3,21,469,,0.0,,0,0,29
5372,0.6944324898723233,0.9492014479007138,0.006339994849692395,0.807217704933219,M3_weather_ridge,time_block,4,14,0.475,0.12076271186440678,0.19256756756756754,57,63,415,,0.0,,0,0,29
5372,0.6789478623799711,0.9245169853939593,0.008651031376986498,0.8171141305916894,M4_inertia_ridge,time_block,4,18,0.4724770642201835,0.21822033898305085,0.2985507246376812,103,115,369,,0.0,,0,0,29
5372,0.7289820072986705,0.9840929922048809,0.00997882851374158,0.7927843079785795,M5_v10_morphology_ridge,time_block,4,15,0.39914163090128757,0.19703389830508475,0.2638297872340426,93,140,379,,0.0,,0,0,29
5372,0.7289820072987122,0.984092992204919,0.009978828513747404,0.7927843079785634,M6_v10_overhead_ridge,time_block,4,17,0.39914163090128757,0.19703389830508475,0.2638297872340426,93,140,379,,0.0,,0,0,29
5372,0.7289820072986757,0.984092992204884,0.009978828513748055,0.7927843079785781,M7_compact_weather_ridge,time_block,4,8,0.39914163090128757,0.19703389830508475,0.2638297872340426,93,140,379,,0.0,,0,0,29
