n,tp,fp,tn,fn,precision,recall,f1,cv_scheme,model,event_threshold_c,score_threshold_c
5426,370,489,4465,102,0.4307334109429569,0.7838983050847458,0.5559729526671675,loso,M3_weather_ridge,31,30.0
5426,380,548,4406,92,0.40948275862068967,0.8050847457627118,0.5428571428571428,loso,M4_inertia_ridge,31,29.9
5426,386,594,4360,86,0.39387755102040817,0.8177966101694916,0.5316804407713498,loso,M6_v10_overhead_ridge,31,29.8
5426,386,594,4360,86,0.39387755102040817,0.8177966101694916,0.5316804407713498,loso,M5_v10_morphology_ridge,31,29.8
5426,328,587,4367,144,0.3584699453551913,0.6949152542372882,0.4729632299927902,time_block,M3_weather_ridge,31,29.8
5426,246,327,4627,226,0.4293193717277487,0.5211864406779662,0.47081339712918663,time_block,M4_inertia_ridge,31,30.2
5426,258,415,4539,214,0.3833580980683507,0.5466101694915254,0.45065502183406114,time_block,M6_v10_overhead_ridge,31,30.1
5426,258,415,4539,214,0.3833580980683507,0.5466101694915254,0.45065502183406114,time_block,M5_v10_morphology_ridge,31,30.1
5426,413,1055,3899,59,0.28133514986376024,0.875,0.4257731958762887,loso,M1_global_bias,31,28.3
5426,413,1055,3899,59,0.28133514986376024,0.875,0.4257731958762887,time_block,M0_raw_proxy,31,27.1
5426,413,1055,3899,59,0.28133514986376024,0.875,0.4257731958762887,loso,M2_linear_proxy,31,28.5
5426,413,1055,3899,59,0.28133514986376024,0.875,0.4257731958762887,loso,M0_raw_proxy,31,27.1
5426,413,1068,3886,59,0.27886563133018233,0.875,0.4229390681003585,time_block,M1_global_bias,31,28.2
5426,413,1108,3846,59,0.2715318869165023,0.875,0.41445057701956844,time_block,M2_linear_proxy,31,28.2
5426,14,211,5186,15,0.06222222222222222,0.4827586206896552,0.11023622047244094,time_block,M4_inertia_ridge,33,30.9
5426,15,276,5121,14,0.05154639175257732,0.5172413793103449,0.09375,time_block,M5_v10_morphology_ridge,33,31.0
5426,15,276,5121,14,0.05154639175257732,0.5172413793103449,0.09375,time_block,M6_v10_overhead_ridge,33,31.0
5426,24,580,4817,5,0.039735099337748346,0.8275862068965517,0.07582938388625593,loso,M3_weather_ridge,33,30.4
5426,13,311,5086,16,0.040123456790123455,0.4482758620689655,0.07365439093484419,time_block,M2_linear_proxy,33,31.0
5426,15,378,5019,14,0.03816793893129771,0.5172413793103449,0.07109004739336494,time_block,M3_weather_ridge,33,30.7
5426,16,423,4974,13,0.03644646924829157,0.5517241379310345,0.06837606837606838,loso,M4_inertia_ridge,33,30.6
5426,18,494,4903,11,0.03515625,0.6206896551724138,0.066543438077634,loso,M6_v10_overhead_ridge,33,30.5
5426,18,494,4903,11,0.03515625,0.6206896551724138,0.066543438077634,loso,M5_v10_morphology_ridge,33,30.5
5426,13,366,5031,16,0.03430079155672823,0.4482758620689655,0.06372549019607843,time_block,M1_global_bias,33,29.6
5426,15,448,4949,14,0.032397408207343416,0.5172413793103449,0.060975609756097573,loso,M1_global_bias,33,29.6
5426,15,452,4945,14,0.032119914346895075,0.5172413793103449,0.06048387096774193,loso,M0_raw_proxy,33,28.4
5426,15,452,4945,14,0.032119914346895075,0.5172413793103449,0.06048387096774193,time_block,M0_raw_proxy,33,28.3
5426,15,456,4941,14,0.03184713375796178,0.5172413793103449,0.06,loso,M2_linear_proxy,33,30.0
