n,tp,fp,tn,fn,precision,recall,f1,cv_scheme,model,event_threshold_c,score_threshold_c,recall_target
5426,430,1172,3782,42,0.26841448189762795,0.9110169491525424,0.4146576663452266,loso,M0_raw_proxy,31,26.9,0.9
5426,22,1165,4232,7,0.018534119629317607,0.7586206896551724,0.03618421052631579,loso,M0_raw_proxy,33,27.5,0.75
5426,430,1180,3774,42,0.2670807453416149,0.9110169491525424,0.41306436119116235,loso,M1_global_bias,31,28.1,0.9
5426,22,1191,4206,7,0.018136850783182192,0.7586206896551724,0.03542673107890499,loso,M1_global_bias,33,28.7,0.75
5426,430,1193,3761,42,0.2649414664202095,0.9110169491525424,0.41050119331742246,loso,M2_linear_proxy,31,28.2,0.9
5426,22,1181,4216,7,0.01828761429758936,0.7586206896551724,0.03571428571428571,loso,M2_linear_proxy,33,29.0,0.75
5426,430,886,4068,42,0.32674772036474165,0.9110169491525424,0.48098434004474266,loso,M3_weather_ridge,31,29.1,0.9
5426,24,580,4817,5,0.039735099337748346,0.8275862068965517,0.07582938388625593,loso,M3_weather_ridge,33,30.4,0.75
5426,427,855,4099,45,0.3330733229329173,0.9046610169491526,0.4868871151653364,loso,M4_inertia_ridge,31,29.2,0.9
5426,25,903,4494,4,0.02693965517241379,0.8620689655172413,0.05224660397074189,loso,M4_inertia_ridge,33,29.9,0.75
5426,427,862,4092,45,0.3312645461598138,0.9046610169491526,0.48495173197047126,loso,M5_v10_morphology_ridge,31,29.2,0.9
5426,29,1096,4301,0,0.025777777777777778,1.0,0.050259965337954945,loso,M5_v10_morphology_ridge,33,29.6,0.75
5426,427,862,4092,45,0.3312645461598138,0.9046610169491526,0.48495173197047126,loso,M6_v10_overhead_ridge,31,29.2,0.9
5426,29,1096,4301,0,0.025777777777777778,1.0,0.050259965337954945,loso,M6_v10_overhead_ridge,33,29.6,0.75
5426,430,1172,3782,42,0.26841448189762795,0.9110169491525424,0.4146576663452266,time_block,M0_raw_proxy,31,26.9,0.9
5426,22,1165,4232,7,0.018534119629317607,0.7586206896551724,0.03618421052631579,time_block,M0_raw_proxy,33,27.5,0.75
5426,430,1228,3726,42,0.25934861278648974,0.9110169491525424,0.40375586854460094,time_block,M1_global_bias,31,28.0,0.9
5426,22,1129,4268,7,0.019113814074717638,0.7586206896551724,0.03728813559322034,time_block,M1_global_bias,33,28.7,0.75
5426,431,1312,3642,41,0.2472748135398738,0.913135593220339,0.3891647855530474,time_block,M2_linear_proxy,31,28.0,0.9
5426,22,1199,4198,7,0.018018018018018018,0.7586206896551724,0.035199999999999995,time_block,M2_linear_proxy,33,28.8,0.75
5426,433,1044,3910,39,0.2931618144888287,0.9173728813559322,0.4443304258594151,time_block,M3_weather_ridge,31,28.8,0.9
5426,26,718,4679,3,0.03494623655913978,0.896551724137931,0.06727037516170763,time_block,M3_weather_ridge,33,30.1,0.75
5426,434,1029,3925,38,0.2966507177033493,0.9194915254237288,0.448578811369509,time_block,M4_inertia_ridge,31,28.4,0.9
5426,22,845,4552,7,0.025374855824682813,0.7586206896551724,0.049107142857142856,time_block,M4_inertia_ridge,33,29.8,0.75
5426,425,1048,3906,47,0.28852681602172436,0.9004237288135594,0.43701799485861176,time_block,M5_v10_morphology_ridge,31,28.6,0.9
5426,23,980,4417,6,0.022931206380857428,0.7931034482758621,0.044573643410852716,time_block,M5_v10_morphology_ridge,33,29.7,0.75
5426,425,1048,3906,47,0.28852681602172436,0.9004237288135594,0.43701799485861176,time_block,M6_v10_overhead_ridge,31,28.6,0.9
5426,23,980,4417,6,0.022931206380857428,0.7931034482758621,0.044573643410852716,time_block,M6_v10_overhead_ridge,33,29.7,0.75
